Secu Code,Date,Close,Open,High,Low,Adj Close,Volume,,Return,,,,,,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
1.HK,10/1/2017,90.949997,89.800003,90.949997,89.800003,77.828934,4893132,,0.010555522,,,,,,,89.22666687,54.97381409,0.949997,0,0.374999357,0.307142429,89.98703465,90.78721752,-0.800182876,-1.215381946
1.HK,11/1/2017,92.25,90.800003,92.5,90.599998,78.941376,5943878,,0.014293601,,,,,,,89.37666687,67.8756488,1.300003,0,0.467856714,0.221428357,90.33518316,90.89557178,-0.560388618,-1.084383281
1.HK,12/1/2017,91.599998,92.400002,92.400002,91.300003,78.385155,4247629,,-0.007046092,,,,,,,89.5633332,67.52580184,0,0.650002,0.467856714,0.2249995,90.52977006,90.9477515,-0.417981439,-0.951102912
1.HK,13/1/2017,92.050003,91.5,92.150002,91.199997,78.770233,4235011,,0.004912718,,,,,,,89.82000027,71.06600134,0.450005,0,0.499999929,0.203571286,90.76365205,91.02939976,-0.265747708,-0.814031871
1.HK,16/1/2017,90.599998,91.699997,91.699997,90,77.529419,3958313,,-0.015752362,,,,,,,90,58.85166168,0,1.450005,0.439285786,0.307143071,90.7384745,90.99759222,-0.259117717,-0.70304904
1.HK,17/1/2017,90.400002,90.599998,90.599998,89.400002,77.358269,3400955,,-0.002207461,,,,,,,90.11000013,61.5000223,0,0.199996,0.439285786,0.274999786,90.68640181,90.95332628,-0.266924467,-0.615824126
1.HK,18/1/2017,91.699997,90.800003,92,90.800003,78.470726,6714649,,0.014380475,,,,,,,90.35000007,65.92920898,1.299995,0,0.532142571,0.274999786,90.84233953,91.00863522,-0.166295688,-0.525918438
1.HK,19/1/2017,91.199997,91.75,91.75,90.550003,78.042862,3491208,,-0.005452563,,,,,,,90.55666667,64.22412006,0,0.5,0.532142571,0.296428643,90.89736376,91.02281017,-0.125446409,-0.445824032
1.HK,20/1/2017,91.699997,92,92.099998,91.300003,78.470726,4861340,,0.005482456,,,,,,,90.80999967,65.70246257,0.5,0,0.567856857,0.296428643,91.0208458,91.07297216,-0.05212636,-0.367084498
1.HK,23/1/2017,91.400002,92.5,92.800003,91.400002,78.21402,5110424,,-0.003271483,,,,,,,91.043333,53.15789247,0,0.299995,0.360713929,0.317856857,91.07917752,91.09719659,-0.018019069,-0.297271412
1.HK,24/1/2017,92.300003,92,92.300003,91.300003,78.984169,4117446,,0.009846838,,,,,,,91.143333,61.02565633,0.900001,0,0.424999714,0.271428214,91.26699682,91.18629336,0.080703465,-0.221676437
1.HK,25/1/2017,91.650002,91.599998,92.199997,91.300003,78.427933,3615838,,-0.007042264,,,,,,,91.243333,54.82236187,0,0.650001,0.385714357,0.317856857,91.3259207,91.22064215,0.10527855,-0.156285439
1.HK,26/1/2017,92.300003,91.550003,92.5,91.550003,78.984169,2734233,,0.007092209,,,,,,,91.35000007,60.80402187,0.650001,0,0.432143,0.2785715,91.47577951,91.3005948,0.17518471,-0.08999141
1.HK,27/1/2017,93.449997,92,93.75,92,79.968246,2659956,,0.012459306,,,,,,,91.56999973,65.75341815,1.149994,0,0.514285429,0.267857071,91.77950528,91.45980978,0.319695499,-0.008054028
1.HK,1/2/2017,92.199997,91.599998,92.400002,91.400002,78.89859,5525317,,-0.013376137,,,,,,,91.7166662,55.55555654,0,1.25,0.4464285,0.357142786,91.84419631,91.51463846,0.32955785,0.059468348
1.HK,2/2/2017,92,92.949997,92.949997,91.800003,78.727448,2201171,,-0.002169165,,,,,,,91.7866664,48.76847194,0,0.199997,0.353571143,0.371428286,91.86816611,91.55059117,0.317574942,0.111089667
1.HK,3/2/2017,91.75,92.699997,92.699997,91.550003,78.513512,2770172,,-0.002717391,,,,,,,91.75333307,50.76924181,0,0.25,0.353571143,0.342856714,91.84998671,91.56536219,0.284624515,0.145796636
1.HK,6/2/2017,91.650002,91.900002,92.050003,91.349998,78.427933,3064487,,-0.001089896,,,,,,,91.75666667,47.87233126,0,0.099998,0.321427929,0.349999429,91.81921983,91.57163181,0.247588022,0.166154913
1.HK,7/2/2017,91.599998,91.699997,92.099998,91.449997,78.385155,4830763,,-0.000545597,,,,,,,91.72666633,56.25001406,0,0.050004,0.321427929,0.249999357,91.7854934,91.57373301,0.211760387,0.175276008
1.HK,8/2/2017,91.349998,91.099998,91.349998,90.650002,78.171227,5993686,,-0.002729258,,,,,,,91.77666633,55.90060654,0,0.25,0.321427929,0.253571071,91.7184941,91.55716005,0.161334059,0.172487618
1.HK,9/2/2017,91.199997,91.400002,92.050003,91.099998,78.042862,5180407,,-0.001642047,,,,,,,91.82999933,46.37680739,0,0.150001,0.228571143,0.264285429,91.63872532,91.53070352,0.108021795,0.159594454
1.HK,10/2/2017,91.5,91.900002,92.349998,91.349998,78.299591,5985899,,0.003289507,,,,,,,91.8166662,52.23883003,0.300003,0,0.249999929,0.228571143,91.61738296,91.52842919,0.088953774,0.145466318
1.HK,13/2/2017,91.699997,91.599998,92.25,91.599998,78.470726,4046440,,0.00218576,,,,,,,91.84999953,50,0.199997,0,0.228571143,0.228571143,91.63009281,91.54113792,0.088954899,0.134164034
1.HK,14/2/2017,93.150002,92,93.349998,91.800003,79.711533,7355401,,0.015812487,,,,,,,91.94666653,61.5894009,1.450005,0,0.332142929,0.207142929,91.863925,91.66031303,0.203611964,0.14805362
